GENE	HSQ	MODEL	MODELCV.R2	POP	VG
PLEKHN1	0.017329	blup	0.0045	ea	0.003026
SDF4	0.001109	top1	0.0017	ea	2.35e-4
CPSF3L	0.111997	susie	0.099	ea	0.019678
SSU72	0.260104	lasso	0.27	ea	0.03502
NADK	0.009841	top1	0.0025	ea	0.003356
TPRG1L	0.168631	blup	0.06	ea	0.040504
LRRC47	0.124301	enet	0.05	ea	0.033864
DFFB	0.106052	blup	0.03	ea	0.043745
C1orf174	0.179938	susie	0.15	ea	0.039199
NPHP4	0.251982	lasso	0.18	ea	0.067804
ICMT	0.040428	blup	0.0047	ea	0.003613
GPR153	0.011132	lasso	0.0048	ea	0.002662
ZBTB48	0.05208	lasso	0.048	ea	0.014825
DNAJC11	0.116803	susie	0.048	ea	0.016106
VAMP3	0.094763	blup	0.022	ea	0.028869
PER3	0.079838	blup	0.049	ea	0.051271
UTS2	0.361158	enet	0.23	ea	0.300682
TNFRSF9	0.070231	susie	0.024	ea	0.021992
PARK7	0.408974	susie	0.41	ea	0.081285
RERE	0.105328	susie	0.057	ea	0.023031
H6PD	0.413772	lasso	0.31	ea	0.150984
CLSTN1	0.237391	top1	0.13	ea	0.060952
CTNNBIP1	0.043463	top1	6.2e-4	ea	0.026757
LZIC	0.488456	susie	0.51	ea	0.115018
NMNAT1	0.086692	top1	0.042	ea	0.04026
KIF1B	0.091515	top1	0.051	ea	0.037877
PGD	0.105359	blup	0.056	ea	0.017336
CASZ1	0.026085	blup	-3.4e-4	ea	0.007512
FBXO44	0.181833	susie	0.1	ea	0.072694
FBXO6	0.144563	top1	0.1	ea	0.063521
AGTRAP	0.16563	enet	0.079	ea	0.063748
MTHFR	0.194963	lasso	0.18	ea	0.051572
CLCN6	0.218453	lasso	0.18	ea	0.029711
MFN2	0.047325	top1	0.014	ea	0.003979
MIIP	0.037608	top1	0.0057	ea	0.007151
CASP9	0.026757	enet	0.0058	ea	0.005311
AGMAT	0.247129	susie	0.27	ea	0.096057
DDI2	0.060655	top1	0.03	ea	0.009116
PLEKHM2	0.007685	susie	0.0034	ea	0.001283
NECAP2	0.070526	enet	0.037	ea	0.013206
CROCCP2	0.349507	susie	0.16	ea	0.243086
ATP13A2	0.118752	top1	0.074	ea	0.037421
PADI2	0.041513	susie	0.017	ea	0.01374
RCC2	0.187325	susie	0.11	ea	0.040322
UBR4	0.088838	susie	0.077	ea	0.009346
AKR7A2	0.172273	lasso	0.13	ea	0.079889
AKR7A3	0.029005	top1	0.053	ea	0.017374
TMCO4	0.028268	lasso	0.021	ea	0.00846
MUL1	0.096442	top1	0.085	ea	0.030314
DDOST	0.00639	top1	0.0038	ea	9.42e-4
HP1BP3	0.095385	top1	0.1	ea	0.011169
NBPF3	0.460584	susie	0.32	ea	0.343028
USP48	0.475964	lasso	0.47	ea	0.115974
CDC42	0.134918	lasso	0.044	ea	0.045008
LUZP1	0.014456	enet	3.4e-4	ea	0.003379
HNRNPR	0.037986	susie	0.026	ea	0.002052
TCEB3	0.063234	enet	0.036	ea	0.01048
HMGCL	0.085177	blup	0.047	ea	0.013586
FUCA1	0.108105	top1	0.12	ea	0.03278
CNR2	0.158636	susie	0.18	ea	0.049386
NIPAL3	0.13067	blup	0.04	ea	0.036706
RCAN3	0.104355	susie	0.079	ea	0.039049
CLIC4	0.040755	top1	0.038	ea	0.012821
C1orf63	0.101736	top1	0.049	ea	0.018103
LDLRAP1	0.11895	enet	0.03	ea	0.034699
ZNF593	0.620012	susie	0.49	ea	0.220751
UBXN11	0.265423	lasso	0.19	ea	0.069301
CD52	0.174682	susie	0.2	ea	0.053585
HMGN2	0.003869	lasso	0.015	ea	0.002013
RPS6KA1	0.193717	top1	0.12	ea	0.035681
ARID1A	0.068819	top1	0.047	ea	0.003956
PIGV	0.101973	blup	0.13	ea	0.021949
ZDHHC18	0.120947	blup	0.11	ea	0.027997
GPN2	0.00208	blup	0.0079	ea	4.67e-4
WDTC1	0.010006	top1	0.0078	ea	0.001922
TMEM222	0.18572	top1	0.099	ea	0.035671
WASF2	0.069153	susie	0.057	ea	0.014192
RPA2	0.057498	top1	0.043	ea	0.014885
SMPDL3B	0.031224	top1	0.0026	ea	0.017454
EYA3	0.141921	enet	0.041	ea	0.028451
ATPIF1	0.146785	top1	0.13	ea	0.047197
RCC1	0.1251	blup	0.054	ea	0.016932
EPB41	0.030412	top1	0.026	ea	0.009956
SNRNP40	0.046689	susie	0.037	ea	0.005628
ZCCHC17	0.02027	lasso	0.0029	ea	0.002735
PEF1	0.072337	top1	0.079	ea	0.010334
COL16A1	0.102993	top1	0.09	ea	0.018064
CCDC28B	0.02184	lasso	0.0031	ea	0.006103
EIF3I	0.097902	enet	0.02	ea	0.014332
MTMR9LP	0.035773	susie	0.042	ea	0.012906
RBBP4	0.001295	susie	0.0089	ea	5.63e-4
RNF19B	0.131564	top1	0.088	ea	0.030011
AK2	0.119732	blup	0.068	ea	0.023793
ZNF362	0.019595	lasso	0.0011	ea	0.007766
PHC2	0.100741	blup	0.048	ea	0.030654
PSMB2	0.0042	lasso	0.0031	ea	5.72e-4
C1orf216	0.033345	top1	0.027	ea	0.026162
MAP7D1	0.03721	blup	0.011	ea	0.007746
STK40	0.175979	susie	0.085	ea	0.022673
MEAF6	0.455824	lasso	0.31	ea	0.158139
GNL2	0.21707	top1	0.25	ea	0.024248
C1orf109	0.072611	lasso	0.047	ea	0.025396
CDCA8	0.099573	top1	0.06	ea	0.011583
INPP5B	0.366091	lasso	0.33	ea	0.122794
SF3A3	0.077973	blup	0.023	ea	0.014855
FHL3	0.219615	enet	0.14	ea	0.135561
UTP11L	0.043992	lasso	0.0068	ea	0.005353
RRAGC	0.254663	enet	0.22	ea	0.044423
AKIRIN1	0.100333	enet	0.055	ea	0.025758
NDUFS5	0.579932	susie	0.49	ea	0.271484
NT5C1A	0.22777	enet	0.11	ea	0.13797
PPIE	0.447648	lasso	0.32	ea	0.119965
BMP8B	0.018677	lasso	0.022	ea	0.006275
TRIT1	0.573101	susie	0.44	ea	0.150737
CAP1	0.068968	susie	0.047	ea	0.012786
PPT1	0.002759	top1	-6.2e-4	ea	3.24e-4
ZMPSTE24	0.044738	lasso	0.011	ea	0.002229
COL9A2	0.228964	susie	0.078	ea	0.060407
SMAP2	0.097657	enet	0.032	ea	0.019395
RIMS3	0.075303	enet	0.053	ea	0.02909
FOXJ3	0.040617	blup	0.022	ea	0.004983
RIMKLA	0.135608	enet	0.018	ea	0.052614
ZMYND12	0.083159	blup	0.032	ea	0.061624
LEPRE1	0.035294	lasso	0.028	ea	0.006281
C1orf50	0.002685	blup	0.0036	ea	7.15e-4
CCDC23	0.771645	lasso	0.71	ea	0.460995
CDC20	0.106465	blup	0.085	ea	0.014244
MED8	0.141957	top1	0.0088	ea	0.029932
PTPRF	0.040015	enet	0.036	ea	0.009704
ST3GAL3	0.134258	enet	0.13	ea	0.025253
DPH2	0.044588	susie	0.013	ea	0.005575
ATP6V0B	0.061294	lasso	0.027	ea	0.010347
DMAP1	0.078991	top1	0.056	ea	0.026521
ERI3	0.016504	susie	0.0029	ea	0.004192
TMEM53	0.269281	enet	0.15	ea	0.04952
KIF2C	0.031233	blup	0.0076	ea	0.003189
UROD	0.07613	lasso	0.036	ea	0.016065
MUTYH	0.158642	top1	0.15	ea	0.039786
TESK2	0.065671	enet	0.034	ea	0.017001
MMACHC	0.030915	blup	0.0096	ea	0.007067
AKR1A1	0.130177	susie	0.15	ea	0.030291
NASP	0.146193	enet	0.19	ea	0.017983
GPBP1L1	0.178376	blup	0.12	ea	0.034774
TMEM69	0.118353	enet	0.034	ea	0.034529
PIK3R3	8.35e-4	lasso	0.014	ea	1.65e-4
RAD54L	3.6e-4	top1	0.0059	ea	3.2e-5
LRRC41	0.10742	top1	0.066	ea	0.025459
NSUN4	0.516262	lasso	0.65	ea	0.190221
FAAH	0.101329	top1	0.069	ea	0.046113
STIL	0.174003	susie	0.15	ea	0.010801
CMPK1	0.10285	susie	0.055	ea	0.0169
CDKN2C	0.02637	susie	0.0021	ea	0.006423
RNF11	0.013139	blup	-4.6e-4	ea	0.003525
EPS15	0.016833	lasso	0.0027	ea	0.002261
OSBPL9	0.029481	top1	-3.6e-5	ea	0.002504
NRD1	0.088616	blup	0.042	ea	0.008545
BTF3L4	0.093508	top1	0.082	ea	0.032649
CC2D1B	0.01852	lasso	-8.7e-4	ea	0.002702
PRPF38A	0.027088	lasso	0.013	ea	0.003105
GPX7	0.137283	top1	0.11	ea	0.088223
FAM159A	0.067822	blup	0.01	ea	0.035769
ZYG11B	0.080743	blup	0.052	ea	0.014803
ECHDC2	0.269317	susie	0.21	ea	0.097853
SCP2	0.532397	susie	0.55	ea	0.22063
YIPF1	0.156778	top1	0.075	ea	0.025096
LRRC42	0.067084	blup	0.016	ea	0.015613
DHCR24	0.341711	enet	0.4	ea	0.101126
USP24	0.119962	susie	0.082	ea	0.019852
MYSM1	0.131826	blup	0.066	ea	0.017717
FGGY	0.112381	lasso	0.059	ea	0.032678
HOOK1	0.070569	top1	0.057	ea	0.024659
CYP2J2	0.08335	top1	0.061	ea	0.044883
TM2D1	0.160282	top1	0.12	ea	0.033004
L1TD1	0.144528	enet	0.063	ea	0.11715
DOCK7	0.119291	enet	0.083	ea	0.019921
ATG4C	0.119464	susie	0.12	ea	0.012215
ALG6	0.195616	lasso	0.042	ea	0.015171
ITGB3BP	0.061866	blup	0.011	ea	0.008568
EFCAB7	0.140249	lasso	0.068	ea	0.022084
PGM1	0.228527	susie	0.19	ea	0.053704
JAK1	0.02739	top1	0.026	ea	0.010876
LEPR	0.288051	enet	0.15	ea	0.09877
SLC35D1	0.261625	enet	0.24	ea	0.052272
GADD45A	0.063247	top1	0.045	ea	0.017421
DEPDC1	0.023643	lasso	0.012	ea	0.004443
LRRC40	0.015903	top1	0.0022	ea	0.001121
HHLA3	0.165617	susie	0.12	ea	0.062738
CTH	0.261033	susie	0.16	ea	0.115839
TNNI3K	0.194028	susie	0.15	ea	0.094362
C1orf173	0.093266	susie	0.039	ea	0.050977
CRYZ	0.573914	enet	0.42	ea	0.265976
TYW3	0.08141	top1	0.032	ea	0.017833
SLC44A5	0.332958	susie	0.27	ea	0.323205
ACADM	0.458728	susie	0.33	ea	0.111707
RABGGTB	0.205869	susie	0.18	ea	0.028086
MSH4	0.133584	susie	0.091	ea	0.080484
PIGK	0.067241	top1	0.046	ea	0.006656
ZZZ3	0.07155	top1	0.045	ea	0.009558
FUBP1	0.078875	lasso	0.038	ea	0.005182
DNAJB4	0.080774	top1	0.062	ea	0.021055
PRKACB	0.062427	blup	0.0036	ea	0.013169
RPF1	0.062143	top1	0.092	ea	0.010253
GNG5	0.084136	top1	0.053	ea	0.024517
SPATA1	0.248235	lasso	0.3	ea	0.11246
CTBS	0.174957	lasso	0.05	ea	0.025727
LPAR3	0.075308	top1	0.1	ea	0.05673
MCOLN2	0.450916	susie	0.38	ea	0.136809
WDR63	0.204888	lasso	0.098	ea	0.087421
MCOLN3	0.020546	top1	9.4e-4	ea	0.008017
C1orf52	0.232505	enet	0.17	ea	0.055265
BCL10	0.124286	blup	0.052	ea	0.029222
DDAH1	0.12292	blup	0.038	ea	0.080954
ZNHIT6	0.306798	lasso	0.36	ea	0.033015
COL24A1	0.332504	enet	0.19	ea	0.145727
ODF2L	0.098587	susie	0.066	ea	0.014489
SEP15	0.016047	lasso	0.0018	ea	0.003068
HS2ST1	0.049206	lasso	0.054	ea	0.007627
CCBL2	0.185541	enet	0.16	ea	0.029573
GBP3	0.668253	susie	0.61	ea	0.311942
GBP1	0.090357	enet	0.093	ea	0.030531
GBP4	0.098115	enet	0.095	ea	0.027723
GBP5	0.062627	top1	0.049	ea	0.021641
GBP6	0.036327	susie	0.0071	ea	0.020873
LRRC8B	0.207203	lasso	0.16	ea	0.091804
CDC7	0.337267	susie	0.33	ea	0.040562
GLMN	0.335588	lasso	0.42	ea	0.036832
GFI1	0.123009	top1	0.11	ea	0.045195
TMED5	0.049917	lasso	0.029	ea	0.006806
CCDC18	0.292689	enet	0.25	ea	0.019451
DR1	0.126031	susie	0.13	ea	0.019252
DNTTIP2	0.079969	top1	0.037	ea	0.007533
GCLM	0.006352	blup	0.0075	ea	0.001257
ABCD3	0.086288	top1	0.055	ea	0.008008
F3	0.09547	susie	0.026	ea	0.040936
PTBP2	0.232342	susie	0.18	ea	0.025541
SNX7	0.038484	blup	0.0029	ea	0.028026
AGL	0.261378	enet	0.15	ea	0.030493
SLC35A3	0.060253	top1	0.075	ea	0.005327
HIAT1	0.298195	susie	0.27	ea	0.062965
SASS6	0.075698	blup	0.016	ea	0.006276
LRRC39	0.144878	susie	0.061	ea	0.055381
DBT	0.221761	lasso	0.3	ea	0.031312
CDC14A	0.263824	enet	0.14	ea	0.048589
AMY2B	0.209224	lasso	0.13	ea	0.074101
NTNG1	0.181435	blup	0.083	ea	0.088979
SLC25A24	0.066808	blup	0.015	ea	0.051501
NBPF4	0.005418	susie	0.0015	ea	0.003814
TAF13	0.084933	top1	0.067	ea	0.01511
KIAA1324	0.019651	top1	0.025	ea	0.006758
PSRC1	0.023593	lasso	0.0026	ea	0.008313
SORT1	0.060749	top1	0.054	ea	0.024357
AMIGO1	0.098074	susie	0.094	ea	0.042614
GSTM4	0.636636	susie	0.43	ea	0.371182
GSTM2	0.26178	enet	0.065	ea	0.170281
GSTM5	0.247673	lasso	0.12	ea	0.224298
GSTM3	0.504277	susie	0.48	ea	0.334681
EPS8L3	0.080166	blup	0.037	ea	0.019371
CD53	0.034323	enet	0.04	ea	0.006308
DRAM2	0.186988	enet	0.1	ea	0.030156
CEPT1	0.058408	enet	0.029	ea	0.01722
DENND2D	0.109568	enet	0.095	ea	0.051054
CHI3L2	0.766188	enet	0.57	ea	0.677335
CHIA	0.588011	susie	0.42	ea	0.48074
OVGP1	0.215649	enet	0.15	ea	0.121195
WDR77	0.066419	blup	0.009	ea	0.00644
ATP5F1	0.051816	susie	0.012	ea	0.028857
C1orf162	0.073738	top1	0.021	ea	0.031005
RAP1A	0.125118	top1	0.066	ea	0.022673
DDX20	0.011107	top1	0.0073	ea	0.001015
CTTNBP2NL	0.278686	susie	0.31	ea	0.071678
WNT2B	0.126442	blup	0.062	ea	0.059101
ST7L	0.275738	susie	0.26	ea	0.040821
CAPZA1	0.077072	top1	0.053	ea	0.014874
MOV10	0.150999	top1	0.11	ea	0.031532
SLC16A1	0.019884	top1	0.019	ea	0.00438
LRIG2	0.055481	enet	0.013	ea	0.006959
MAGI3	0.08291	susie	0.046	ea	0.046459
PHTF1	0.12257	enet	0.065	ea	0.024901
DCLRE1B	0.089096	lasso	0.051	ea	0.014091
ATP1A1	0.029127	top1	5.4e-4	ea	0.00828
CD58	0.090245	susie	0.022	ea	0.026083
CD101	0.093011	susie	0.082	ea	0.033087
TTF2	0.05761	lasso	0.024	ea	0.012219
MAN1A2	0.079698	top1	0.02	ea	0.009167
WDR3	0.031598	top1	0.0064	ea	0.003571
WARS2	0.326804	enet	0.32	ea	0.063057
FMO5	0.06566	susie	0.05	ea	0.04122
CHD1L	0.23417	blup	0.17	ea	0.04115
ACP6	0.325093	enet	0.18	ea	0.162642
ANP32E	0.069456	lasso	0.044	ea	0.006285
RPRD2	0.037217	top1	0.025	ea	0.001585
TARS2	0.048015	susie	0.025	ea	0.010406
MCL1	0.057712	blup	0.045	ea	0.008388
HORMAD1	0.104408	blup	0.095	ea	0.071204
CTSS	0.132149	blup	0.14	ea	0.023145
CTSK	0.32319	top1	0.27	ea	0.073886
ARNT	0.042516	susie	0.059	ea	0.010075
CDC42SE1	0.028185	top1	0.0017	ea	0.003958
GABPB2	0.14881	lasso	0.09	ea	0.032388
LYSMD1	0.078529	lasso	0.03	ea	0.058641
PIP5K1A	0.046582	susie	5.2e-4	ea	0.007442
POGZ	0.04628	top1	0.0085	ea	0.006205
MRPL9	0.101515	susie	0.064	ea	0.010108
TDRKH	0.182595	susie	0.098	ea	0.073914
THEM4	0.188962	enet	0.2	ea	0.042072
S100A10	0.207764	lasso	0.25	ea	0.096556
LCE2D	0.030432	top1	0.019	ea	0.02869
S100A13	0.055233	top1	0.07	ea	0.043513
SNAPIN	0.016674	susie	0.0051	ea	0.003097
NPR1	0.019178	lasso	0.0053	ea	0.003818
SLC27A3	0.021755	lasso	-5e-4	ea	0.009321
SLC39A1	0.089292	top1	0.076	ea	0.031502
JTB	0.011035	blup	0.0027	ea	0.002361
UBAP2L	0.049738	blup	0.015	ea	0.006245
HAX1	0.037876	lasso	0.039	ea	0.014412
ATP8B2	0.059389	top1	0.01	ea	0.015271
IL6R	0.270067	enet	0.18	ea	0.167476
ADAR	0.033464	top1	0.0089	ea	0.005909
KCNN3	0.136857	blup	0.052	ea	0.036439
PMVK	0.059937	susie	0.041	ea	0.018767
ZBTB7B	0.022759	top1	0.0018	ea	0.010001
ADAM15	0.133121	top1	0.089	ea	0.049729
MUC1	0.075117	blup	0.0032	ea	0.031765
THBS3	0.190758	blup	0.12	ea	0.065238
GBAP1	0.344549	enet	0.48	ea	0.109541
GBA	0.065139	blup	0.044	ea	0.011894
SCAMP3	0.078923	blup	0.05	ea	0.012966
YY1AP1	0.043081	blup	0.029	ea	0.007986
DAP3	0.04068	susie	0.033	ea	0.005253
RIT1	0.162195	lasso	0.16	ea	0.018852
UBQLN4	0.617016	top1	0.6	ea	0.284553
SEMA4A	0.286075	lasso	0.11	ea	0.067608
PAQR6	0.199325	lasso	0.14	ea	0.085421
SMG5	0.010201	enet	0.0014	ea	0.001521
C1orf85	0.031609	blup	0.0018	ea	0.009352
CCT3	0.031015	top1	0.049	ea	0.002364
IQGAP3	0.110745	susie	0.052	ea	0.024364
APOA1BP	0.105114	susie	0.065	ea	0.022324
GPATCH4	0.084773	top1	0.053	ea	0.008352
ISG20L2	0.108079	enet	0.035	ea	0.008096
HDGF	0.127341	susie	0.093	ea	0.017847
ETV3L	0.01151	blup	3.1e-5	ea	0.004212
FCRL3	0.219558	lasso	0.22	ea	0.124732
DCAF8	0.177028	susie	0.19	ea	0.039158
PEA15	9.89e-4	top1	0.024	ea	2.27e-4
SLAMF6	0.228975	susie	0.18	ea	0.038035
CD84	0.09178	blup	0.032	ea	0.048139
CD48	0.195115	lasso	0.094	ea	0.047572
SLAMF7	0.191047	lasso	0.16	ea	0.03097
LY9	0.171146	top1	0.12	ea	0.027957
CD244	0.148162	susie	0.11	ea	0.045852
USF1	0.024191	top1	0.0059	ea	0.00292
KLHDC9	0.096112	blup	0.02	ea	0.066652
FCER1G	0.089671	top1	0.042	ea	0.048776
SDHC	0.034803	susie	0.0051	ea	0.00768
FCGR2A	0.055218	enet	0.026	ea	0.041305
FCGR2B	0.156506	top1	0.087	ea	0.079027
FCRLA	0.493397	enet	0.5	ea	0.112338
FCRLB	0.206305	blup	0.11	ea	0.110409
DUSP12	0.019303	top1	0.01	ea	0.002959
ATF6	0.236685	enet	0.21	ea	0.031794
RGS5	0.341617	enet	0.26	ea	0.222347
NUF2	0.202652	enet	0.11	ea	0.015653
MGST3	0.592211	susie	0.47	ea	0.223345
UCK2	0.028225	lasso	0.0054	ea	0.003091
TADA1	0.054461	susie	0.017	ea	0.009146
ILDR2	0.156219	top1	0.13	ea	0.082786
MAEL	0.213439	susie	0.19	ea	0.123836
MPZL1	0.194059	enet	0.15	ea	0.045952
DCAF6	0.108533	lasso	0.086	ea	0.020326
TIPRL	0.150379	lasso	0.025	ea	0.014214
TBX19	0.128048	blup	0.031	ea	0.035067
ATP1B1	0.178993	enet	0.094	ea	0.029621
NME7	0.00992	blup	3.1e-4	ea	0.00201
SLC19A2	0.049408	top1	0.06	ea	0.018491
SELP	0.051807	blup	0.025	ea	0.0316
SELL	0.075909	enet	0.049	ea	0.028006
GORAB	0.107189	enet	0.088	ea	0.015687
PRRX1	0.136568	top1	0.098	ea	0.070636
VAMP4	0.080432	blup	0.0099	ea	0.010904
METTL13	0.107653	blup	0.034	ea	0.01419
PIGC	0.098093	top1	0.046	ea	0.046264
CENPL	0.014619	blup	0.0024	ea	0.001634
RABGAP1L	0.001269	susie	-9.8e-4	ea	2.12e-4
CACYBP	0.012546	top1	0.003	ea	0.003222
KIAA0040	0.106895	blup	0.022	ea	0.020439
FAM20B	0.031988	susie	0.0095	ea	0.005477
ABL2	0.195569	susie	0.12	ea	0.063351
SOAT1	0.170084	blup	0.085	ea	0.026158
QSOX1	0.21132	lasso	0.16	ea	0.102232
STX6	0.037111	top1	0.034	ea	0.005332
IER5	0.012453	top1	0.02	ea	0.002887
CACNA1E	0.44374	lasso	0.44	ea	0.245255
GLUL	0.208072	top1	0.23	ea	0.12025
RNASEL	0.091159	susie	0.055	ea	0.031228
LAMC1	0.12456	enet	0.17	ea	0.048317
LAMC2	0.091983	top1	0.06	ea	0.02675
NCF2	0.047655	blup	0.018	ea	0.008014
ARPC5	0.032431	blup	0.015	ea	0.004677
TSEN15	0.144317	enet	0.092	ea	0.023573
EDEM3	0.193917	top1	0.19	ea	0.027046
FAM129A	0.128894	enet	0.1	ea	0.052597
IVNS1ABP	0.336472	top1	0.14	ea	0.115541
RGS13	0.070048	enet	0.031	ea	0.026722
RGS2	0.133497	blup	0.058	ea	0.054642
UCHL5	0.088788	enet	0.048	ea	0.005755
TROVE2	0.107235	lasso	0.066	ea	0.018617
GLRX2	0.078056	top1	0.049	ea	0.018696
ZBTB41	0.126822	enet	0.095	ea	0.016173
DDX59	0.355278	enet	0.35	ea	0.087456
TIMM17A	0.097706	top1	0.059	ea	0.013541
RNPEP	0.420974	enet	0.35	ea	0.12905
PTPN7	0.100294	top1	0.094	ea	0.029484
UBE2T	0.209532	top1	0.28	ea	0.049064
RABIF	0.018222	lasso	-8.8e-4	ea	0.004222
KLHL12	0.078131	susie	0.043	ea	0.026486
CYB5R1	0.268352	top1	0.16	ea	0.085844
CHI3L1	0.238683	top1	0.2	ea	0.139471
MDM4	0.406903	top1	0.49	ea	0.061129
TMEM81	0.203476	blup	0.11	ea	0.141655
RBBP5	0.01486	lasso	0.007	ea	0.001531
DSTYK	0.043488	blup	0.0073	ea	0.019993
SLC45A3	0.115861	blup	0.03	ea	0.035781
RAB7L1	0.205004	enet	0.13	ea	0.063777
SLC41A1	0.220492	susie	0.13	ea	0.089416
PM20D1	0.104078	lasso	0.11	ea	0.051917
DYRK3	0.081357	susie	0.034	ea	0.029172
IL19	0.265273	enet	0.23	ea	0.145448
CR2	0.041203	blup	0.016	ea	0.010482
CD46	0.195991	enet	0.22	ea	0.031639
IRF6	0.099909	top1	0.039	ea	0.045411
HHAT	0.131392	lasso	0.051	ea	0.054766
RCOR3	0.075613	blup	0.021	ea	0.012791
NEK2	0.101371	lasso	0.088	ea	0.016587
LPGAT1	0.128943	lasso	0.081	ea	0.045707
DTL	0.08216	susie	0.026	ea	0.006481
PPP2R5A	0.102185	enet	0.057	ea	0.01815
TMEM206	0.100733	enet	0.041	ea	0.032286
BATF3	0.11952	top1	0.16	ea	0.052728
NSL1	0.361208	enet	0.31	ea	0.059372
VASH2	0.24966	susie	0.18	ea	0.11815
ANGEL2	0.15345	top1	0.16	ea	0.011612
SMYD2	0.117601	lasso	0.099	ea	0.026327
CENPF	0.079384	top1	0.052	ea	0.00752
GPATCH2	0.030828	lasso	0.024	ea	0.003943
RRP15	0.312178	susie	0.19	ea	0.06514
LYPLAL1	0.090493	blup	0.035	ea	0.015755
EPRS	0.162927	top1	0.12	ea	0.01839
BPNT1	0.202959	enet	0.075	ea	0.060177
RAB3GAP2	0.136892	top1	0.091	ea	0.024519
C1orf115	0.254648	enet	0.2	ea	0.159367
DUSP10	0.081689	top1	0.05	ea	0.030815
TAF1A	0.010405	blup	0.0073	ea	0.007329
CAPN2	0.076296	top1	0.073	ea	0.030599
FBXO28	0.046799	top1	0.022	ea	0.004124
DEGS1	0.050755	susie	0.022	ea	0.007606
NVL	0.23881	blup	0.11	ea	0.015281
CNIH4	0.035551	enet	0.0014	ea	0.008907
DNAH14	0.091198	lasso	0.051	ea	0.015228
TMEM63A	0.178005	blup	0.076	ea	0.029464
MIXL1	0.182424	enet	0.14	ea	0.108233
LIN9	0.140845	enet	0.094	ea	0.010005
PARP1	0.060108	enet	-0.0013	ea	0.012957
PSEN2	0.059625	blup	0.036	ea	0.022378
JMJD4	0.067474	susie	0.026	ea	0.012647
RAB4A	0.06547	susie	0.015	ea	0.013634
NUP133	0.081331	top1	0.079	ea	0.005202
ABCB10	0.139306	susie	0.18	ea	0.02768
C1orf198	0.150695	susie	0.1	ea	0.077201
TTC13	0.260944	enet	0.21	ea	0.042397
ARV1	0.317287	susie	0.28	ea	0.037839
C1orf131	0.012587	lasso	0.0066	ea	0.005911
GNPAT	0.21801	lasso	0.19	ea	0.032622
EXOC8	0.001979	susie	-4.6e-4	ea	2.59e-4
PCNXL2	0.061458	blup	0.011	ea	0.014768
TARBP1	0.283201	susie	0.14	ea	0.0491
GGPS1	0.033444	top1	0.002	ea	0.006608
TBCE	0.120587	top1	0.12	ea	0.017259
B3GALNT2	0.243359	top1	0.28	ea	0.048073
LYST	0.111585	enet	0.033	ea	0.02154
ERO1LB	0.171028	enet	0.17	ea	0.033653
EDARADD	0.133938	enet	0.1	ea	0.067421
MTR	0.145665	susie	0.11	ea	0.016234
KMO	0.021925	top1	0.0086	ea	0.005485
OPN3	0.137238	top1	0.096	ea	0.05655
CEP170	0.097285	enet	0.027	ea	0.018194
SDCCAG8	0.135031	susie	0.094	ea	0.013194000000000001
AKT3	0.061763	blup	0.037	ea	0.02215
ADSS	0.073338	enet	0.012	ea	0.011052
C1orf101	0.093954	enet	0.058	ea	0.040875
EFCAB2	0.496178	enet	0.5	ea	0.180707
SMYD3	0.187766	enet	0.081	ea	0.045028
SCCPDH	0.124004	lasso	0.089	ea	0.034872
ZNF124	0.15372	lasso	0.11	ea	0.029106
ZNF496	0.378822	top1	0.33	ea	0.186797
ZNF672	0.030139	top1	-6.8e-4	ea	0.006614
ZNF692	0.001158	lasso	0.0018	ea	2.45e-4
SH3YL1	0.12834	susie	0.1	ea	0.043325
ACP1	0.111453	enet	0.069	ea	0.027409
TMEM18	0.189799	lasso	0.089	ea	0.052828
TSSC1	0.085907	lasso	0.055	ea	0.015108
ADI1	0.256826	susie	0.22	ea	0.062161
MBOAT2	0.247931	susie	0.14	ea	0.116158
ITGB1BP1	0.061845	susie	0.062	ea	0.010811
ADAM17	0.091907	susie	0.085	ea	0.00996
TAF1B	0.394819	enet	0.45	ea	0.054809
GRHL1	0.032315	lasso	0.012	ea	0.014056
KLF11	0.184596	top1	0.13	ea	0.10887
CYS1	0.022277	top1	0.0061	ea	0.010447
ATP6V1C2	0.003191	lasso	0.037	ea	-0.003332
PQLC3	0.256666	enet	0.23	ea	0.132431
ROCK2	0.197786	susie	0.21	ea	0.027663
NBAS	0.072406	top1	0.059	ea	0.010873
DDX1	0.530887	susie	0.52	ea	0.047812
SMC6	0.28112	enet	0.22	ea	0.042959
GEN1	0.134645	susie	0.071	ea	0.026567
SDC1	0.091929	enet	0.029	ea	0.053843
C2orf43	0.415411	enet	0.29	ea	0.055133
KLHL29	0.084745	susie	0.021	ea	0.039551
TP53I3	0.225189	susie	0.17	ea	0.096571
PFN4	0.068455	top1	0.058	ea	0.056236
NCOA1	0.067101	top1	0.043	ea	0.011953
ADCY3	0.153577	lasso	0.19	ea	0.042514
POMC	0.048136	top1	0.045	ea	0.029114
DTNB	0.079017	top1	0.061	ea	0.03643
HADHA	0.059095	susie	0.063	ea	0.021855
HADHB	0.094877	lasso	0.048	ea	0.021237
EPT1	0.028334	top1	-3.9e-4	ea	0.001564
TMEM214	9.14e-4	blup	0.0048	ea	3.57e-4
KHK	0.013988	susie	-5.6e-4	ea	0.003231
